ACC,NMI,Purity,Fscore,Runtime
0.5626,0.535989448052549,0.605,0.466135841608621,1.1810846
0.55,0.527057749986926,0.5928,0.444982912782379,1.2051548
0.5498,0.523742039192526,0.5918,0.441937007950272,1.1246076
0.5302,0.508389721745525,0.573,0.419374673104177,1.0604795
0.5588,0.535131535399479,0.6018,0.45637074764893,1.0737607
