AnchorsRate,Order,NumSampling,K,Seed,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,2,5,0,1,0.56142301278488,0.640266418549162,0.584769316286826,0.466796941031692,2.8676402
10,2,2,5,0,2,0.586992773763202,0.667192785006179,0.622568093385214,0.495369611539092,2.8676402
10,2,2,5,2,1,0.580322401334075,0.629987943378128,0.586436909394108,0.444206218950311,3.064522
10,2,2,5,2,2,0.550305725403002,0.657708231787876,0.586992773763202,0.488970177310369,3.064522
10,2,2,5,4,1,0.516953863257365,0.645671789853665,0.570872707059477,0.484307145343513,3.0198074
10,2,2,5,4,2,0.568093385214008,0.658602000478094,0.604780433574208,0.494760476452415,3.0198074
10,2,2,5,6,1,0.567537520844914,0.669657164982523,0.590883824346859,0.499873546640784,3.0315566
10,2,2,5,6,2,0.56698165647582,0.663596670083052,0.589772095608671,0.495206562226489,3.0315566
10,2,2,5,8,1,0.546970539188438,0.640129561440492,0.588660366870484,0.454225384996124,2.7552786
10,2,2,5,8,2,0.555308504724847,0.648800516518086,0.591439688715953,0.474337969883096,2.7552786
10,2,2,5,10,1,0.560311284046693,0.660055157491776,0.584769316286826,0.493127637438667,2.9431572
10,2,2,5,10,2,0.56142301278488,0.654854494939488,0.586436909394108,0.478986417226161,2.9431572
10,2,2,7,0,1,0.560311284046693,0.654599748364231,0.588660366870484,0.492126187614715,2.6759299
10,2,2,7,0,2,0.61923290717065,0.656913878013854,0.620344635908838,0.497307704513959,2.6759299
10,2,2,7,2,1,0.560311284046693,0.644446290659921,0.584769316286826,0.484006531039662,2.5932463
10,2,2,7,2,2,0.560311284046693,0.644446290659921,0.584769316286826,0.484006531039662,2.5932463
10,2,2,7,4,1,0.506948304613674,0.635798473321376,0.565869927737632,0.475099685522932,2.7870749
10,2,2,7,4,2,0.573096164535853,0.633320256160003,0.596442468037799,0.485604888942658,2.7870749
10,2,2,7,6,1,0.565314063368538,0.652744392642124,0.586992773763202,0.491958261686244,2.8698107
10,2,2,7,6,2,0.585881045025014,0.672639204273772,0.621456364647026,0.512533888306924,2.8698107
10,2,2,7,8,1,0.557531962201223,0.644832490448562,0.581989994441356,0.484086751486987,2.6165464
10,2,2,7,8,2,0.58254585881045,0.659574803166982,0.617565314063369,0.502149942378063,2.6165464
10,2,2,7,10,1,0.559199555308505,0.66315949369924,0.595886603668705,0.497545076572718,2.8965973
10,2,2,7,10,2,0.580322401334075,0.653950142692723,0.599221789883268,0.497253219474296,2.8965973
10,2,2,10,0,1,0.558643690939411,0.642352483600189,0.585881045025014,0.483461739380122,2.5880499
10,2,2,10,0,2,0.529738743746526,0.610651465215476,0.545302946081156,0.450937991462593,2.5880499
10,2,2,10,2,1,0.578654808226793,0.661655417792395,0.615897720956087,0.50015212715732,2.9417123
10,2,2,10,2,2,0.579766536964981,0.688940528394532,0.649805447470817,0.552831483620415,2.9417123
10,2,2,10,4,1,0.505280711506392,0.632549080967109,0.56698165647582,0.472969733799227,2.6263146
10,2,2,10,4,2,0.538076709282935,0.616625554885108,0.568093385214008,0.484446736678237,2.6263146
10,2,2,10,6,1,0.543635352973874,0.613363930320632,0.566425792106726,0.43931908262894,2.9265861
10,2,2,10,6,2,0.579766536964981,0.647264245886108,0.599221789883268,0.492613481901052,2.9265861
10,2,2,10,8,1,0.560311284046693,0.645788107568012,0.595330739299611,0.481703972004811,2.9098961
10,2,2,10,8,2,0.560311284046693,0.647076062721514,0.586992773763202,0.483284846454418,2.9098961
10,2,2,10,10,1,0.557531962201223,0.642271187542721,0.586436909394108,0.483376065127401,2.1559337
10,2,2,10,10,2,0.583657587548638,0.66626352988096,0.61923290717065,0.509478108581436,2.1559337
10,2,2,15,0,1,0.553085047248471,0.625269812638893,0.579766536964981,0.471501027911347,2.9418264
10,2,2,15,0,2,0.555864369093941,0.620672649335884,0.56976097832129,0.472633008270584,2.9418264
10,2,2,15,2,1,0.553085047248471,0.636040246846706,0.589772095608671,0.480181216337522,2.9287917
10,2,2,15,2,2,0.513062812673708,0.589004984778577,0.526959421901056,0.451937142641804,2.9287917
10,2,2,15,4,1,0.555308504724847,0.625582156237519,0.579766536964981,0.47071703378299,3.055859
10,2,2,15,4,2,0.555864369093941,0.626614206625039,0.580322401334075,0.471432912931166,3.055859
10,2,2,15,6,1,0.558643690939411,0.625850858811448,0.58254585881045,0.445180784626708,3.4705163
10,2,2,15,6,2,0.523624235686493,0.588458314251748,0.529738743746526,0.408376315374214,3.4705163
10,2,2,15,8,1,0.552529182879377,0.615763243286396,0.578098943857699,0.461572427496611,2.9631239
10,2,2,15,8,2,0.552529182879377,0.615763243286396,0.578098943857699,0.461572427496611,2.9631239
10,2,2,15,10,1,0.555864369093941,0.629803234724045,0.58254585881045,0.474817403229772,2.7380457
10,2,2,15,10,2,0.555864369093941,0.629803234724045,0.58254585881045,0.474817403229772,2.7380457
10,2,3,5,0,1,0.571428571428571,0.649989248638573,0.590327959977765,0.46273638828102,3.2801602
10,2,3,5,0,2,0.622568093385214,0.696626892404537,0.657031684269038,0.54913667682341,3.2801602
10,2,3,5,2,1,0.581989994441356,0.638441798060672,0.589216231239578,0.447241582579146,3.605155
10,2,3,5,2,2,0.58810450250139,0.658861367640355,0.623123957754308,0.466596930770114,3.605155
10,2,3,5,4,1,0.518621456364647,0.661098834945764,0.571428571428571,0.486856170077992,3.5225123
10,2,3,5,4,2,0.585881045025014,0.691381814374898,0.622568093385214,0.519303485313459,3.5225123
10,2,3,5,6,1,0.568093385214008,0.678189160374683,0.592551417454141,0.503111842687,3.3985061
10,2,3,5,6,2,0.583657587548638,0.649914795373968,0.589772095608671,0.467098718715609,3.3985061
10,2,3,5,8,1,0.546970539188438,0.63997190562924,0.58810450250139,0.45347151288603,3.2741698
10,2,3,5,8,2,0.586992773763202,0.663605415910594,0.622568093385214,0.482499470282869,3.2741698
10,2,3,5,10,1,0.58532518065592,0.665001509868417,0.594774874930517,0.481638360828503,3.5375596
10,2,3,5,10,2,0.58532518065592,0.657994364430098,0.594219010561423,0.464412500727463,3.5375596
10,2,3,7,0,1,0.564758198999444,0.670948796802787,0.590327959977765,0.500246825549187,3.0917109
10,2,3,7,0,2,0.599777654252362,0.684683389542276,0.636464702612562,0.509400032695766,3.0917109
10,2,3,7,2,1,0.563090605892162,0.676862458535316,0.597554196775987,0.50432671760945,3.2210346
10,2,3,7,2,2,0.58532518065592,0.668961127569947,0.619788771539744,0.507030485745816,3.2210346
