DatasetID,AnchorsRate,Order,NumSampling,K,Seed,ACC,NMI,Purity,Fscore,P,R,RI,Runtime,Obj_History,alphaA_History
5,10,2,2,5,2,0.563478260869565,0.729817807398051,0.622608695652174,0.527429780904983,0.512449977767897,0.543311726576311,0.949940918042721,0.0199774,[14339.372266 14090.97904 14090.97904],[0.25 0.372684 0.372684;0.25 0.197986 0.197986;0.25 0.07125 0.07125;0.25 0.35808 0.35808]
5,10,2,2,5,4,0.540869565217391,0.714053022849362,0.612173913043478,0.500361452482901,0.473678669193514,0.530229817324691,0.945553703984245,0.0232874,[13969.247941 13815.901802 13815.901802],[0.25 0.322715 0.322715;0.25 0.249119 0.249119;0.25 0.114573 0.114573;0.25 0.313593 0.313593]
5,10,2,2,5,6,0.554782608695652,0.716670604831461,0.613913043478261,0.501456027955737,0.495682210708117,0.50736593989393,0.948129071352825,0.037002,[13709.298935 13548.290475 13547.738242 13547.738242],[0.25 0.365153 0.366367 0.366367;0.25 0.248568 0.247758 0.247758;0.25 0.230345 0.230215 0.230215;0.25 0.155934 0.15566 0.15566]
5,10,2,2,5,8,0.549565217391304,0.714784807556585,0.608695652173913,0.474292770543332,0.452791769370914,0.497937536829699,0.943244962884411,0.0238457,[13785.957676 13277.718893 13277.718893],[0.25 0.303646 0.303646;0.25 0.189139 0.189139;0.25 0.057707 0.057707;0.25 0.449508 0.449508]
5,10,2,2,5,10,0.540869565217391,0.739051662548672,0.653913043478261,0.521004832970418,0.474187935034803,0.578078962875663,0.945347674594758,0.0370583,[13435.773994 13313.413586 13294.066568 13294.066568],[0.25 0.136345 0.128294 0.128294;0.25 0.267837 0.269347 0.269347;0.25 0.291273 0.292864 0.292864;0.25 0.304545 0.309495 0.309495]
5,10,2,2,5,12,0.525217391304348,0.708748319109124,0.6,0.469113392705202,0.452209098862642,0.48733058338244,0.943287380699894,0.0374312,[13766.952963 13648.902501 13648.722516 13648.722516],[0.25 0.299584 0.299159 0.299159;0.25 0.241489 0.241962 0.241962;0.25 0.142338 0.142049 0.142049;0.25 0.316588 0.31683 0.31683]
5,10,2,2,5,14,0.474782608695652,0.674520591936199,0.572173913043478,0.425559311121841,0.390584991136498,0.467413081909252,0.935118921375549,0.0537471,[13933.334589 13733.039825 13732.782117 13732.417532 13732.417532],[0.25 0.25131 0.250541 0.249796 0.249796;0.25 0.288186 0.289086 0.289931 0.289931;0.25 0.048744 0.048652 0.048493 0.048493;0.25 0.41176 0.411721 0.41178 0.41178]
5,10,2,2,5,16,0.521739130434783,0.722816564255534,0.612173913043478,0.497623896809233,0.478511587422479,0.518326458456099,0.946189971216482,0.0404643,[13617.887538 13355.675371 13354.132455 13354.132455],[0.25 0.265719 0.268171 0.268171;0.25 0.22948 0.227138 0.227138;0.25 0.081902 0.081307 0.081307;0.25 0.4229 0.423383 0.423383]
5,10,2,2,7,2,0.56695652173913,0.721713189214254,0.63304347826087,0.508245962028903,0.489519650655022,0.528461991750147,0.947420087865475,0.0407454,[13794.430478 13734.479187 13711.486546 13711.486546],[0.25 0.185222 0.177857 0.177857;0.25 0.24576 0.250392 0.250392;0.25 0.24068 0.242692 0.242692;0.25 0.328338 0.329058 0.329058]
5,10,2,2,7,4,0.537391304347826,0.715555077819192,0.60695652173913,0.509404479425893,0.500454855583352,0.518680023571008,0.948632025450689,0.0412508,[13377.263302 13172.888504 13171.715459 13171.715459],[0.25 0.312434 0.312428 0.312428;0.25 0.165742 0.164608 0.164608;0.25 0.146787 0.147137 0.147137;0.25 0.375037 0.375826 0.375826]
5,10,2,2,7,6,0.577391304347826,0.729081310385268,0.626086956521739,0.559817871371656,0.541331865712713,0.5796110783736,0.953134373579761,0.0370583,[13278.388251 13016.140198 13013.053191 13013.053191],[0.25 0.150752 0.148559 0.148559;0.25 0.256184 0.255236 0.255236;0.25 0.131174 0.132888 0.132888;0.25 0.46189 0.463316 0.463316]
5,10,2,2,7,8,0.518260869565217,0.718645811629406,0.624347826086956,0.488132955366572,0.46191878813381,0.517501473187979,0.944196333888805,0.0367165,[14354.493662 14255.147209 14249.393054 14249.393054],[0.25 0.155729 0.152428 0.152428;0.25 0.237792 0.235154 0.235154;0.25 0.26006 0.262377 0.262377;0.25 0.346419 0.350041 0.350041]
5,10,2,2,7,10,0.532173913043478,0.692132431854951,0.605217391304348,0.483280826839109,0.45503746877602,0.515262227460224,0.943347977579155,0.045277,[13717.972991 13577.341435 13573.996438 13573.996438],[0.25 0.284623 0.284099 0.284099;0.25 0.105821 0.103737 0.103737;0.25 0.273009 0.274105 0.274105;0.25 0.336547 0.338059 0.338059]
5,10,2,2,7,12,0.577391304347826,0.724471455231269,0.624347826086956,0.517593900028241,0.496963123644252,0.54001178550383,0.948244205423421,0.0508484,[13518.527087 13253.712355 13246.204461 13246.188918 13246.188918],[0.25 0.160922 0.15843 0.158096 0.158096;0.25 0.167655 0.165407 0.165472 0.165472;0.25 0.270199 0.272993 0.273187 0.273187;0.25 0.401224 0.40317 0.403245 0.403245]
5,10,2,2,7,14,0.535652173913043,0.709579223483956,0.624347826086956,0.510015076459186,0.469515217606821,0.558161461402475,0.944856839872747,0.040526,[13991.562188 13824.864488 13819.738522 13819.738522],[0.25 0.09631 0.092306 0.092306;0.25 0.36812 0.369989 0.369989;0.25 0.238832 0.23939 0.23939;0.25 0.296738 0.298315 0.298315]
5,10,2,2,7,16,0.549565217391304,0.721460784580022,0.619130434782609,0.518073680563576,0.507868221442319,0.528697701826753,0.949425844569005,0.0404913,[13189.614536 12993.496765 12990.010349 12990.010349],[0.25 0.278081 0.278733 0.278733;0.25 0.144986 0.14278 0.14278;0.25 0.169861 0.17019 0.17019;0.25 0.407072 0.408297 0.408297]
