AnchorsRate,Order,NumSampling,K,Seed,Method,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,2,5,0,1,1,0.556420233463035,0.652223730435695,0.579210672595887,0.472193389693048,1.1590227
10,2,2,5,0,1,2,0.556420233463035,0.664712308421799,0.579210672595887,0.485064593840211,1.1590227
10,2,2,5,0,2,1,0.565869927737632,0.675362236169948,0.602001111728738,0.478289348171701,1.1463327
10,2,2,5,0,2,2,0.632017787659811,0.69189273652824,0.666481378543635,0.528821181487867,1.1463327
10,2,2,5,0,3,1,0.562534741523068,0.62195891745597,0.562534741523068,0.422332692576986,1.1563835
10,2,2,5,0,3,2,0.533629794330183,0.634479988370582,0.565869927737632,0.43220926241346,1.1563835
10,2,2,5,0,4,1,0.56142301278488,0.675335046908259,0.597554196775987,0.50839587420548,1.0819017
10,2,2,5,0,4,2,0.56142301278488,0.675335046908259,0.597554196775987,0.50839587420548,1.0819017
10,2,2,5,2,1,1,0.530850472484714,0.66483017147058,0.596998332406893,0.481338990020049,1.0076521
10,2,2,5,2,1,2,0.56976097832129,0.666301733681874,0.598110061145081,0.485264586160109,1.0076521
10,2,2,5,2,2,1,0.570316842690384,0.705780733938112,0.605892162312396,0.52572988720085,1.1400145
10,2,2,5,2,2,2,0.56976097832129,0.700935818331227,0.605892162312396,0.516936820113825,1.1400145
10,2,2,5,2,3,1,0.531962201222902,0.647394388652318,0.565869927737632,0.456454729959063,1.2377377
10,2,2,5,2,3,2,0.563090605892162,0.655369995145371,0.565869927737632,0.46492282030985,1.2377377
10,2,2,5,2,4,1,0.561978877153974,0.652433776154193,0.599221789883268,0.49203612280087,1.1294266
10,2,2,5,2,4,2,0.589772095608671,0.666171299504831,0.62479155086159,0.49645068720737,1.1294266
10,2,2,5,4,1,1,0.564758198999444,0.667731510671972,0.60088938299055,0.489773004474415,1.1233545
10,2,2,5,4,1,2,0.563646470261256,0.674617293504256,0.60366870483602,0.507182075899209,1.1233545
10,2,2,5,4,2,1,0.523624235686493,0.642244999925559,0.559199555308505,0.424011067686654,1.2859569
10,2,2,5,4,2,2,0.56698165647582,0.696525108656717,0.60644802668149,0.51685612189156,1.2859569
10,2,2,5,4,3,1,0.521956642579211,0.665847989577363,0.557531962201223,0.470078693814244,1.1498335
10,2,2,5,4,3,2,0.521956642579211,0.665847989577363,0.557531962201223,0.470078693814244,1.1498335
10,2,2,5,4,4,1,0.596442468037799,0.642024589738057,0.599221789883268,0.474602313810557,1.1180816
10,2,2,5,4,4,2,0.593107281823235,0.642381722909354,0.595886603668705,0.47759333980285,1.1180816
10,2,2,5,6,1,1,0.505280711506392,0.638272560377451,0.573652028904947,0.462038203346127,1.30619
10,2,2,5,6,1,2,0.504724847137298,0.611733554834385,0.52751528627015,0.432985127478754,1.30619
10,2,2,5,6,2,1,0.552529182879377,0.685855887651541,0.590883824346859,0.496333124453412,1.1386387
10,2,2,5,6,2,2,0.564758198999444,0.683316207984809,0.578654808226793,0.497306469302027,1.1386387
10,2,2,5,6,3,1,0.513062812673708,0.653709473216753,0.553640911617565,0.461018939950081,1.1712451
10,2,2,5,6,3,2,0.55141745414119,0.663065205050259,0.570872707059477,0.469906822685599,1.1712451
10,2,2,5,6,4,1,0.546970539188438,0.659872064787751,0.583657587548638,0.485409238013199,1.1751728
10,2,2,5,6,4,2,0.595886603668705,0.682618685036933,0.632573652028905,0.507670412854213,1.1751728
10,2,2,5,8,1,1,0.559199555308505,0.661908392200958,0.594219010561423,0.481759269538188,1.2995793
10,2,2,5,8,1,2,0.538076709282935,0.632194921296888,0.570316842690384,0.456385079060016,1.2995793
10,2,2,5,8,2,1,0.562534741523068,0.651164427537652,0.574763757643135,0.445908921636431,1.0654707
10,2,2,5,8,2,2,0.545302946081156,0.655423847920098,0.557531962201223,0.457494132416353,1.0654707
10,2,2,5,8,3,1,0.600333518621456,0.687796202672291,0.602001111728738,0.501515943172569,1.1732193
10,2,2,5,8,3,2,0.600333518621456,0.687796202672291,0.602001111728738,0.501515943172569,1.1732193
10,2,2,5,8,4,1,0.561978877153974,0.658846564749375,0.599221789883268,0.488359582494544,1.0645118
10,2,2,5,8,4,2,0.590883824346859,0.658483647606934,0.626459143968872,0.486426715692041,1.0645118
10,2,2,5,10,1,1,0.494163424124514,0.624716056968975,0.571428571428571,0.457075463971564,1.2712994
10,2,2,5,10,1,2,0.519733185102835,0.621514853541673,0.56420233463035,0.443619608345066,1.2712994
10,2,2,5,10,2,1,0.593663146192329,0.67169937325312,0.594219010561423,0.47282751555265,1.2161965
