NumAnchors,Method,ACC,NMI,Purity,Fscore,Runtime
100,1,0.5598,0.506850473849167,0.6024,0.454709584966033,7.7450835
100,2,0.6754,0.65462607324074,0.7208,0.593878120222176,8.7409924
100,3,0.7128,0.641948386827631,0.7128,0.606404825216671,7.2863618
100,4,0.5078,0.480262750090882,0.5584,0.407290156580022,8.532066
150,1,0.638,0.559837903648048,0.6384,0.51087206065962,10.9130106
150,2,0.642,0.650792601128161,0.6886,0.575600477089842,9.6333193
150,3,0.7158,0.646568081464934,0.7158,0.603227668611112,9.6238885
150,4,0.5092,0.489160094911816,0.5526,0.410772605840669,8.4353323
200,1,0.655,0.559012120590288,0.655,0.516759328776607,9.0069541
200,2,0.712,0.695668568462624,0.753,0.634648754421445,7.0644315
200,3,0.7232,0.662445386246788,0.7234,0.626470478897792,8.3887117
200,4,0.563,0.54604349230651,0.6066,0.472777307873598,9.6107182
