NumAnchors,Method,ACC,NMI,Purity,Fscore,Runtime
120,1,0.501945525291829,0.611154154992172,0.54585881045025,0.442219513208749,0.6689289
120,2,0.55141745414119,0.666768231620419,0.587548638132296,0.487158145065398,0.6809144
120,3,0.515286270150083,0.636294826957332,0.55141745414119,0.447753287809383,0.7127997
120,4,0.557531962201223,0.64571158326697,0.581989994441356,0.479861671312795,0.7097273
180,1,0.529738743746526,0.626253734503824,0.546970539188438,0.437637318471679,0.7761902
180,2,0.504724847137298,0.64494614450999,0.541411895497499,0.437617458673724,0.7127825
180,3,0.590883824346859,0.679600181195378,0.627015008337966,0.500995757208416,0.7104384
180,4,0.598665925514175,0.651831206592048,0.599777654252362,0.471340367538316,0.7469911
240,1,0.54585881045025,0.677831333521378,0.572540300166759,0.482036001440897,0.7834892
240,2,0.573652028904947,0.697044236827836,0.610339077265147,0.49025069637883,0.5451776
240,3,0.532518065591996,0.641487555727268,0.568649249583102,0.434883946153598,0.6875888
240,4,0.557531962201223,0.692964952539184,0.605336297943302,0.512418632407109,0.6454928
