ACC,NMI,Purity,Fscore,Runtime
0.227862763591802,0.0375090665486592,0.487599223423957,0.232100869466405,50.1452313
0.208011194261048,0.0351225936983558,0.487599223423957,0.221268380803046,88.8429545
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
