NumAnchors,Method,ACC,NMI,Purity,Fscore,Runtime
120,1,0.501945525291829,0.611154154992172,0.54585881045025,0.442219513208749,1.3185056
120,2,0.577543079488605,0.667096502371504,0.609783212896053,0.517457993786496,1.3313733
120,3,0.50917176209005,0.638593906790025,0.548082267926626,0.451738552482886,1.4027048
120,4,0.58532518065592,0.669246654805704,0.612562534741523,0.508464637015421,1.2534172
180,1,0.576987215119511,0.675964231755526,0.593107281823235,0.504908646509932,1.4326442
180,2,0.544747081712062,0.669723574817186,0.54585881045025,0.466668693810118,1.4237714
180,3,0.541967759866593,0.64058904216203,0.545302946081156,0.4503863225895,1.3239403
180,4,0.564758198999444,0.639881712981424,0.601445247359644,0.455684001432805,1.3325881
240,1,0.543635352973874,0.699649787451727,0.643690939410784,0.535423246131517,1.2850807
240,2,0.638688160088938,0.722908547374899,0.64313507504169,0.553343796525638,1.4867764
240,3,0.590883824346859,0.657958615000899,0.614230127848805,0.467790374305142,1.3345397
240,4,0.571428571428571,0.702405288534441,0.625903279599778,0.525040299070549,1.3131705
