F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
1,0.5874,0.561621838670061,0.633,0.490083559552401,79.4662611
2,0.534,0.547068483095678,0.6194,0.459542599864417,79.4662611
1,0.6814,0.676108016878897,0.726,0.607553407546536,54.8463075
2,0.6518,0.65128479786896,0.6964,0.57956079491048,54.8463075
1,0.6616,0.658227768520156,0.7096,0.593538411164982,46.8625505
2,0.6336,0.629193459293118,0.68,0.561922993045627,46.8625505
1,0.536,0.534668486193863,0.5816,0.450404594294183,63.3090428
2,0.55,0.520159791845114,0.5934,0.42972384842846,63.3090428
