NumAnchors,Method,ACC,NMI,Purity,Fscore,Runtime
120,1,0.501945525291829,0.611154154992172,0.54585881045025,0.442219513208749,0.7224622
120,2,0.541967759866593,0.631728224479705,0.575875486381323,0.450309139305596,0.7841369
120,3,0.515286270150083,0.636513363011744,0.55141745414119,0.448707330568032,0.6812219
120,4,0.584769316286826,0.656160679726972,0.619788771539744,0.475173898005457,0.6761924
180,1,0.518065591995553,0.625790653469069,0.546414674819344,0.446593811207929,0.4867874
180,2,0.546970539188438,0.701403380455744,0.589216231239578,0.521152056031753,0.6674181
180,3,0.516397998888271,0.647598817723951,0.575319622012229,0.468330899805103,0.6899247
180,4,0.578098943857699,0.647333888524483,0.598110061145081,0.472353817228576,0.5101718
240,1,0.515842134519177,0.632283913569505,0.552529182879377,0.41572502581797,0.5671391
240,2,0.573652028904947,0.697044236827836,0.610339077265147,0.49025069637883,0.5110349
240,3,0.510283490828238,0.690346527998125,0.567537520844914,0.512991539439334,0.6913608
240,4,0.557531962201223,0.699744300514043,0.605336297943302,0.518932473829354,0.7084817
