F_Styla,ACC,NMI,Purity,Fscore,Runtime
1,0.56698165647582,0.680624990389418,0.592551417454141,0.504738202029737,0.2826495
2,0.637020566981656,0.705932005187029,0.672040022234575,0.54602368923281,0.2826495
1,0.574763757643135,0.678360232950575,0.60088938299055,0.501204021855461,0.3061363
2,0.557531962201223,0.678576877062062,0.627570872707059,0.494244031830239,0.3061363
1,0.56698165647582,0.675711151191673,0.603112840466926,0.499704976517495,0.2577025
2,0.557531962201223,0.693425246788491,0.624235686492496,0.522844991528647,0.2577025
1,0.539744302390217,0.678515913502762,0.601445247359644,0.498923896430663,0.2636621
2,0.61923290717065,0.692467326478512,0.631461923290717,0.513008964620543,0.2636621
1,0.570316842690384,0.690323536038554,0.605336297943302,0.512528383635192,0.2913358
2,0.561978877153974,0.68061008897344,0.631461923290717,0.499016930272508,0.2913358
